entity,	party,	amount, donor
2014,	Whole_Blood,	108058, unknown
2014,	Apheresis,	9337, unknown
2013,	Whole_Blood,	111626, unknown
2013,	Apheresis,	9734, unknown
2012,	Whole_Blood,	108593, unknown
2012,	Apheresis,	9980, unknown
2011,	Whole_Blood,	104895, unknown
2011,	Apheresis,	10229, unknown
2010,	Whole_Blood,	99355, unknown
2010,	Apheresis,	10685, unknown
